source_gene,gene_name
Gene::6495,SIX1
Gene::112950,MED8
Gene::6491,STIL
Gene::3710,ITPR3
Gene::4148,MATN3
Gene::55342,STRBP
Gene::10856,RUVBL2
Gene::11021,RAB35
Gene::4653,MYOC
Gene::717,C2
Gene::5245,PHB1
Gene::873,CBR1
Gene::3843,IPO5
Gene::50852,TRAT1
Gene::10914,PAPOLA
Gene::81061,OR11H1
Gene::6499,SKIC2
Gene::1147,CHUK
Gene::9545,RAB3D
Gene::25913,POT1
Gene::101928601,MEI4
Gene::8408,ULK1
Gene::55039,TRMT12
Gene::55697,VAC14
Gene::5827,PXMP2
Gene::4008,LMO7
Gene::9100,USP10
Gene::51019,WASHC3
Gene::5939,RBMS2
Gene::10197,PSME3
Gene::345,APOC3
Gene::2923,PDIA3
Gene::58506,SCAF1
Gene::116985,ARAP1
Gene::58516,SINHCAF
Gene::9609,RAB36
Gene::56897,WRNIP1
Gene::55374,TMCO6
Gene::64949,MRPS26
Gene::10288,LILRB2
Gene::526,ATP6V1B2
Gene::5699,PSMB10
Gene::84681,HINT2
Gene::10694,CCT8
Gene::4214,MAP3K1
Gene::5691,PSMB3
Gene::81671,VMP1
Gene::55806,HR
Gene::3601,IL15RA
Gene::55576,STAB2
Gene::7320,UBE2B
Gene::342979,PALM3
Gene::5613,PRKX
Gene::84947,SERAC1
Gene::4043,LRPAP1
Gene::56996,SLC12A9
Gene::4862,NPAS2
Gene::51755,CDK12
Gene::8518,ELP1
Gene::10466,COG5
Gene::22994,CEP131
Gene::54429,TAS2R5
Gene::63935,PCIF1
Gene::2862,MLNR
Gene::207063,DHRSX
Gene::7357,UGCG
Gene::22823,MTF2
Gene::5506,PPP1R3A
Gene::7371,UCK2
Gene::54994,GID8
Gene::7203,CCT3
Gene::59084,ENPP5
Gene::4256,MGP
Gene::1159,CKMT1B
Gene::9474,ATG5
Gene::91409,CCDC74B
Gene::3635,INPP5D
Gene::114907,FBXO32
Gene::84971,ATG4D
Gene::51496,CTDSPL2
Gene::374986,MIGA1
Gene::5162,PDHB
Gene::3563,IL3RA
Gene::8342,H2BC14
Gene::63826,SRR
Gene::57491,AHRR
Gene::23291,FBXW11
Gene::10049,DNAJB6
Gene::83737,ITCH
Gene::54664,TMEM106B
Gene::51070,NOSIP
Gene::51540,SCLY
Gene::10802,SEC24A
Gene::6944,VPS72
Gene::26271,FBXO5
Gene::6351,CCL4
Gene::54931,TRMT10C
Gene::1603,DAD1
Gene::360023,ZBTB41
Gene::23625,FAM89B
Gene::50509,COL5A3
Gene::9921,RNF10
Gene::10724,OGA
Gene::10285,SMNDC1
Gene::5155,PDGFB
Gene::85235,H2AC12
Gene::28971,AAMDC
Gene::7031,TFF1
Gene::4552,MTRR
Gene::29997,NOP53
Gene::10579,TACC2
Gene::79026,AHNAK
Gene::9446,GSTO1
Gene::2152,F3
Gene::8458,TTF2
Gene::1718,DHCR24
Gene::10935,PRDX3
Gene::9329,GTF3C4
Gene::3226,HOXC10
Gene::4331,MNAT1
Gene::10105,PPIF
Gene::5015,OTX2
Gene::53635,PTOV1
Gene::440270,GOLGA8B
Gene::84624,FNDC1
Gene::54954,FAM120C
Gene::256892,OR51F1
Gene::22979,EFR3B
Gene::10667,FARS2
Gene::9025,RNF8
Gene::148479,PHF13
Gene::283160,OR8D2
Gene::55532,SLC30A10
Gene::3010,H1-6
Gene::8111,GPR68
Gene::392,ARHGAP1
Gene::83901,KRTAP9-8
Gene::57480,PLEKHG1
Gene::3664,IRF6
Gene::641654,HEPN1
Gene::11124,FAF1
Gene::1036,CDO1
Gene::4036,LRP2
Gene::4704,NDUFA9
Gene::81099,OR4F17
Gene::4798,NFRKB
Gene::81027,TUBB1
Gene::4725,NDUFS5
Gene::1258,CNGB1
Gene::51014,TMED7
Gene::127833,SYT2
Gene::157567,ANKRD46
Gene::545,ATR
Gene::4077,NBR1
Gene::131870,NUDT16
Gene::9246,UBE2L6
Gene::91775,NXPE3
Gene::5872,RAB13
Gene::123096,SLC25A29
Gene::440498,HSBP1L1
Gene::10752,CHL1
Gene::63893,UBE2O
Gene::219749,ZNF25
Gene::374882,TMEM205
Gene::9934,P2RY14
Gene::80321,CEP70
Gene::818,CAMK2G
Gene::65003,MRPL11
Gene::NVA298,Gene not found in NCBI database.
Gene::9757,KMT2B
Gene::51056,LAP3
Gene::165545,DQX1
Gene::2969,GTF2I
Gene::415117,STX19
Gene::286365,OR13D1
Gene::22795,NID2
Gene::6424,SFRP4
Gene::6707,SPRR3
Gene::8986,RPS6KA4
Gene::10322,SMYD5
Gene::79677,SMC6
Gene::6206,RPS12
Gene::8690,JRKL
Gene::6941,TCF19
Gene::338382,RAB7B
Gene::4110,MAGEA11
Gene::85397,RGS8
Gene::55660,PRPF40A
Gene::389084,SNORC
Gene::201255,LRRC45
Gene::6602,SMARCD1
Gene::54329,GPR85
Gene::91937,TIMD4
Gene::6881,TAF10
Gene::210,ALAD
Gene::389421,LIN28B
Gene::3053,SERPIND1
Gene::115098,CCDC124
Gene::3109,HLA-DMB
Gene::4541,ND6
Gene::11276,SYNRG
Gene::1445,CSK
Gene::64282,TENT4B
Gene::6594,SMARCA1
Gene::1812,DRD1
Gene::196740,VSTM4
Gene::1910,EDNRB
Gene::5300,PIN1
Gene::6774,STAT3
Gene::378,ARF4
Gene::4487,MSX1
Gene::64919,BCL11B
Gene::4926,NUMA1
Gene::2990,GUSB
Gene::3860,KRT13
Gene::57470,LRRC47
Gene::27148,STK36
Gene::126374,WTIP
Gene::84263,HSDL2
Gene::763,CA5A
Gene::55186,SLC25A36
Gene::219954,OR9I1
Gene::1267,CNP
Gene::1308,COL17A1
Gene::79025,FNDC11
Gene::8369,H4C7
Gene::87178,PNPT1
Gene::55627,SMPD4
Gene::23405,DICER1
Gene::1070,CETN3
Gene::57646,USP28
Gene::23318,TUT4
Gene::126353,MISP
Gene::9695,EDEM1
Gene::84525,HOPX
Gene::2590,GALNT2
Gene::79754,ASB13
Gene::23761,PISD
Gene::3796,KIF2A
Gene::26059,ERC2
Gene::256297,PTF1A
Gene::147339,ARK2N
Gene::7326,UBE2G1
Gene::3280,HES1
Gene::2854,GPR32
Gene::51442,VGLL1
Gene::255725,OR52B2
Gene::23220,DTX4
Gene::115416,MALSU1
Gene::5210,PFKFB4
Gene::10589,DRAP1
Gene::369,ARAF
Gene::80210,ARMC9
Gene::390152,OR8H3
Gene::157695,TDRP
Gene::9135,RABEP1
Gene::3358,HTR2C
Gene::6098,ROS1
Gene::5686,PSMA5
Gene::23439,ATP1B4
Gene::51637,RTRAF
Gene::4714,NDUFB8
Gene::189,AGXT
Gene::142689,ASB12
Gene::7143,TNR
Gene::26039,SS18L1
Gene::386675,KRTAP10-7
Gene::1942,EFNA1
Gene::287015,TRIM42
Gene::51350,KRT76
Gene::92689,FAM114A1
Gene::79792,GSDMD
Gene::92345,NAF1
Gene::84669,USP32
Gene::3742,KCNA6
Gene::5891,MOK
Gene::641,BLM
Gene::2173,FABP7
Gene::9337,CNOT8
Gene::84282,RNF135
Gene::150962,PUS10
Gene::3108,HLA-DMA
Gene::391211,OR2G6
Gene::55863,TMEM126B
Gene::22898,DENND3
Gene::9360,PPIG
Gene::91445,RNF185
Gene::126321,MFSD12
Gene::7701,ZNF142
Gene::9076,CLDN1
Gene::57862,ZNF410
Gene::10363,HMG20A
Gene::64397,ZNF106
Gene::6327,SCN2B
Gene::219957,OR9Q2
Gene::10809,STARD10
Gene::5604,MAP2K1
Gene::2678,GGT1
Gene::343173,OR2T3
Gene::6430,SRSF5
Gene::4956,ODF1
Gene::6230,RPS25
Gene::79814,AGMAT
Gene::3270,HRC
Gene::83461,CDCA3
Gene::149483,CCDC17
Gene::26034,IPCEF1
Gene::5129,CDK18
Gene::160,AP2A1
Gene::57165,GJC2
Gene::149371,EXOC8
Gene::84552,PARD6G
Gene::26168,SENP3
Gene::164832,LONRF2
Gene::91752,ZNF804A
Gene::50836,TAS2R8
Gene::84432,PROK1
Gene::8510,MMP23B
Gene::9785,DHX38
Gene::84134,TOMM40L
Gene::148022,TICAM1
Gene::26211,OR2F1
Gene::388327,C17orf100
Gene::5925,RB1
Gene::9652,SKIC3
Gene::55333,SYNJ2BP
Gene::5799,PTPRN2
Gene::51412,ACTL6B
Gene::2690,GHR
Gene::1062,CENPE
Gene::22852,ANKRD26
Gene::118461,C10orf71
Gene::200931,SLC51A
Gene::414301,DDI1
Gene::1725,DHPS
Gene::89876,CFAP91
Gene::7920,ABHD16A
Gene::6818,SULT1A3
Gene::55917,CTTNBP2NL
Gene::5583,PRKCH
Gene::6833,ABCC8
Gene::26279,PLA2G2D
Gene::10468,FST
Gene::26268,FBXO9
Gene::100316904,SAP25
Gene::631,BFSP1
Gene::84826,SFT2D3
Gene::2130,EWSR1
Gene::2695,GIP
Gene::6780,STAU1
Gene::7750,ZMYM2
Gene::143279,HECTD2
Gene::5652,PRSS8
Gene::55515,ASIC4
Gene::83443,SF3B5
Gene::5581,PRKCE
Gene::514,ATP5F1E
Gene::6415,SELENOW
Gene::64853,AIDA
Gene::2059,EPS8
Gene::3799,KIF5B
Gene::79875,THSD4
Gene::6480,ST6GAL1
Gene::8061,FOSL1
Gene::333926,PPM1J
Gene::23070,CMTR1
Gene::8569,MKNK1
Gene::51002,TPRKB
Gene::55970,GNG12
Gene::6319,SCD
Gene::10084,PQBP1
Gene::4335,MNT
Gene::6993,DYNLT1
Gene::359,AQP2
Gene::1875,E2F5
Gene::9046,DOK2
Gene::219469,OR8H1
Gene::4851,NOTCH1
Gene::26277,TINF2
Gene::9254,CACNA2D2
Gene::55249,YY1AP1
Gene::401138,AMTN
Gene::10314,LANCL1
Gene::8227,AKAP17A
Gene::5163,PDK1
Gene::9308,CD83
Gene::4288,MKI67
Gene::27120,DKKL1
Gene::84892,POMGNT2
Gene::4771,NF2
Gene::197131,UBR1
Gene::51300,TIMMDC1
Gene::10399,RACK1
Gene::51715,RAB23
Gene::57580,PREX1
Gene::55339,WDR33
Gene::8045,RASSF7
Gene::6461,SHB
Gene::57717,PCDHB16
Gene::3836,KPNA1
Gene::6505,SLC1A1
Gene::11161,ERG28
Gene::8348,H2BC17
Gene::9789,SPCS2
Gene::57460,PPM1H
Gene::83756,TAS1R3
Gene::7514,XPO1
Gene::55022,PID1
Gene::23650,TRIM29
Gene::154790,CLEC2L
Gene::10160,FARP1
Gene::3177,SLC29A2
Gene::11346,SYNPO
Gene::392390,OR1L6
Gene::3938,LCT
Gene::1908,EDN3
Gene::9144,SYNGR2
Gene::147841,SPC24
Gene::8344,H2BC6
Gene::29089,UBE2T
Gene::390594,KBTBD13
Gene::6769,STAC
Gene::256646,NUTM1
Gene::340371,NRBP2
Gene::84824,FCRLA
Gene::84798,C19orf48P
Gene::5782,PTPN12
Gene::699,BUB1
Gene::126823,KLHDC9
Gene::57461,ISY1
Gene::51399,TRAPPC4
Gene::51449,PCYOX1
Gene::10863,ADAM28
Gene::9469,CHST3
Gene::84128,WDR75
Gene::205428,DIPK2A
Gene::6201,RPS7
Gene::84140,FAM161A
Gene::84636,GPR174
Gene::115201,ATG4A
Gene::23403,FBXO46
Gene::51171,HSD17B14
Gene::6907,TBL1X
Gene::823,CAPN1
Gene::80205,CHD9
Gene::55827,DCAF6
Gene::54567,DLL4
Gene::23410,SIRT3
Gene::10078,TSSC4
Gene::22950,SLC4A1AP
Gene::57215,THAP11
Gene::2675,GFRA2
Gene::3491,CCN1
Gene::9961,MVP
Gene::440563,HNRNPCL2
Gene::54881,TEX10
Gene::285,ANGPT2
Gene::5104,SERPINA5
Gene::348093,RBPMS2
Gene::1781,DYNC1I2
Gene::79412,KREMEN2
Gene::91748,MIDEAS
Gene::664,BNIP3
Gene::9552,SPAG7
Gene::6616,SNAP25
Gene::9120,SLC16A6
Gene::10529,NEBL
Gene::92935,MARS2
Gene::9951,HS3ST4
Gene::26995,TRUB2
Gene::26298,EHF
Gene::6324,SCN1B
Gene::57085,AGTRAP
Gene::145264,SERPINA12
Gene::4947,OAZ2
Gene::54600,UGT1A9
Gene::91860,CALML4
Gene::23135,KDM6B
Gene::23186,RCOR1
Gene::55236,UBA6
Gene::31,ACACA
Gene::7297,TYK2
Gene::30849,PIK3R4
Gene::283489,CHAMP1
Gene::84975,MFSD5
Gene::51639,SF3B6
Gene::6521,SLC4A1
Gene::4355,MPP2
Gene::3581,IL9R
Gene::84319,CMSS1
Gene::596,BCL2
Gene::9933,PUM3
Gene::265,AMELX
Gene::342096,GOLGA6A
Gene::5518,PPP2R1A
Gene::9284,NPIPA1
Gene::340385,ZNF517
Gene::2959,GTF2B
Gene::9210,BMP15
Gene::79622,SNRNP25
Gene::10135,NAMPT
Gene::23554,TSPAN12
Gene::55540,IL17RB
Gene::23143,LRCH1
Gene::23054,NCOA6
Gene::317,APAF1
Gene::51255,RNF181
Gene::11216,AKAP10
Gene::282679,AQP11
Gene::9037,SEMA5A
Gene::29901,SAC3D1
Gene::81,ACTN4
Gene::57826,RAP2C
Gene::90871,DMAC1
Gene::115752,DIS3L
Gene::148808,MFSD4A
Gene::65080,MRPL44
Gene::6339,SCNN1D
Gene::207,AKT1
Gene::5257,PHKB
Gene::89882,TPD52L3
Gene::2151,F2RL2
Gene::1288,COL4A6
Gene::23774,BRD1
Gene::8991,SELENBP1
Gene::56983,POGLUT1
Gene::153,ADRB1
Gene::81697,OR2B2
Gene::23087,TRIM35
Gene::6091,ROBO1
Gene::116519,APOA5
Gene::1399,CRKL
Gene::51102,MECR
Gene::9464,HAND2
Gene::23029,RBM34
Gene::80254,CEP63
Gene::80152,CENPT
Gene::10989,IMMT
Gene::92305,TMEM129
Gene::64240,ABCG5
Gene::54704,PDP1
Gene::8301,PICALM
Gene::11142,PKIG
Gene::23218,NBEAL2
Gene::6303,SAT1
Gene::9488,PIGB
Gene::5322,PLA2G5
Gene::4205,MEF2A
Gene::9204,ZMYM6
Gene::55275,VPS53
Gene::5507,PPP1R3C
Gene::55559,HAUS7
Gene::395,ARHGAP6
Gene::23223,RRP12
Gene::126208,ZNF787
Gene::49856,WRAP73
Gene::83442,SH3BGRL3
Gene::51676,ASB2
Gene::64801,ARV1
Gene::56940,DUSP22
Gene::56938,BMAL2
Gene::54540,FAM193B
Gene::5457,POU4F1
Gene::26586,CKAP2
Gene::8368,H4C13
Gene::65117,RSRC2
Gene::92797,HELB
Gene::23137,SMC5
Gene::10294,DNAJA2
Gene::150678,COPS9
Gene::2556,GABRA3
Gene::3631,INPP4A
Gene::11345,GABARAPL2
Gene::55086,RADX
Gene::4988,OPRM1
Gene::3783,KCNN4
Gene::7318,UBA7
Gene::390648,OR4F6
Gene::57610,RANBP10
Gene::1296,COL8A2
Gene::288,ANK3
Gene::27297,CRCP
Gene::10180,RBM6
Gene::1163,CKS1B
Gene::26682,OR4F4
Gene::5515,PPP2CA
Gene::7325,UBE2E2
Gene::80119,PIF1
Gene::53342,IL17D
Gene::8638,OASL
Gene::153643,FAM81B
Gene::55722,CEP72
Gene::139562,OTUD6A
Gene::7477,WNT7B
Gene::55068,ENOX1
Gene::5226,PGD
Gene::2180,ACSL1
Gene::84317,CCDC115
Gene::93474,ZNF670
Gene::8764,TNFRSF14
Gene::5937,RBMS1
Gene::51550,CINP
Gene::3998,LMAN1
Gene::55245,UQCC1
Gene::390980,ZNF805
Gene::9045,RPL14
Gene::10454,TAB1
Gene::27445,PCLO
Gene::57551,TAOK1
Gene::51559,NT5DC3
Gene::246329,STAC3
Gene::3693,ITGB5
Gene::29781,NCAPH2
Gene::127540,HMGB4
Gene::79094,CHAC1
Gene::60488,MRPS35
Gene::1060,CENPC
Gene::149647,GARIN4
Gene::55170,PRMT6
Gene::10398,MYL9
Gene::728661,SLC35E2B
Gene::9663,LPIN2
Gene::26234,FBXL5
Gene::55793,MINDY1
Gene::9038,TAAR5
Gene::50617,ATP6V0A4
Gene::4831,NME2
Gene::80115,BAIAP2L2
Gene::58494,JAM2
Gene::84310,CHLSN
Gene::23066,CAND2
Gene::23193,GANAB
Gene::6755,SSTR5
Gene::115950,ZNF653
Gene::5063,PAK3
Gene::55609,ZNF280C
Gene::51605,TRMT6
Gene::23464,GCAT
Gene::9703,BLTP2
Gene::10544,PROCR
Gene::27089,UQCRQ
Gene::5956,OPN1LW
Gene::220108,FAM124A
Gene::344558,SH3RF3
Gene::4122,MAN2A2
Gene::8534,CHST1
Gene::7554,ZNF8
Gene::196383,RILPL2
Gene::6606,SMN1
Gene::127077,OR2T11
Gene::23566,LPAR3
Gene::2861,GPR37
Gene::10721,POLQ
Gene::2914,GRM4
Gene::55191,NADSYN1
Gene::55701,ARHGEF40
Gene::221,ALDH3B1
Gene::7416,VDAC1
Gene::80725,SRCIN1
Gene::80325,ABTB1
Gene::5634,PRPS2
Gene::827,CAPN6
Gene::7786,MAP3K12
Gene::7541,ZBTB14
Gene::399694,SHC4
Gene::64419,MTMR14
Gene::4773,NFATC2
Gene::79924,ADM2
Gene::9655,SOCS5
Gene::6605,SMARCE1
Gene::140766,ADAMTS14
Gene::386681,KRTAP10-8
Gene::203523,ZNF449
Gene::23295,MGRN1
Gene::55904,KMT2E
Gene::5460,POU5F1
Gene::116729,PPP1R27
Gene::81622,UNC93B1
Gene::4524,MTHFR
Gene::2863,GPR39
Gene::123591,TMEM266
Gene::347168,OR1J1
Gene::1364,CLDN4
Gene::2309,FOXO3
Gene::4753,NELL2
Gene::94086,HSPB9
Gene::139728,PNCK
Gene::4147,MATN2
Gene::55157,DARS2
Gene::10464,PIBF1
Gene::3292,HSD17B1
Gene::92667,MGME1
Gene::79694,MANEA
Gene::10218,ANGPTL7
Gene::164,AP1G1
Gene::8174,MADCAM1
Gene::1482,NKX2-5
Gene::5174,PDZK1
Gene::23432,GPR161
Gene::6996,TDG
Gene::29933,GPR132
Gene::84249,PSD2
Gene::1198,CLK3
Gene::4439,MSH5
Gene::6123,RPL3L
Gene::163051,ZNF709
Gene::4723,NDUFV1
Gene::79719,AAGAB
Gene::4160,MC4R
Gene::140461,ASB8
Gene::140690,CTCFL
Gene::10818,FRS2
Gene::122961,ISCA2
Gene::2775,GNAO1
Gene::165186,TOGARAM2
Gene::10432,RBM14
Gene::1775,DNASE1L2
Gene::114327,EFHC1
Gene::3198,HOXA1
Gene::3918,LAMC2
Gene::2050,EPHB4
Gene::10630,PDPN
Gene::116211,TM4SF19
Gene::6382,SDC1
Gene::1021,CDK6
Gene::5739,PTGIR
Gene::10666,CD226
Gene::1717,DHCR7
Gene::3437,IFIT3
Gene::80232,WDR26
Gene::388962,BOLA3
Gene::5887,RAD23B
Gene::1959,EGR2
Gene::11077,HSF2BP
Gene::81578,COL21A1
Gene::869,CBLN1
Gene::84316,NAA38
Gene::134285,TMEM171
Gene::6273,S100A2
Gene::114791,TUBGCP5
Gene::3361,HTR5A
Gene::5540,NPY4R
Gene::23373,CRTC1
Gene::390883,OR7G3
Gene::390151,OR8H2
Gene::2647,BLOC1S1
Gene::2845,GPR22
Gene::25897,RNF19A
Gene::79139,DERL1
Gene::79791,FBXO31
Gene::23589,CARHSP1
Gene::55651,NHP2
Gene::390927,ZNF793
Gene::403313,PLPP6
Gene::83877,TM2D2
Gene::1633,DCK
Gene::79132,DHX58
Gene::7511,XPNPEP1
Gene::123879,DCUN1D3
Gene::4211,MEIS1
Gene::1859,DYRK1A
Gene::57181,SLC39A10
Gene::54853,WDR55
Gene::54443,ANLN
Gene::4706,NDUFAB1
Gene::64711,HS3ST6
Gene::8626,TP63
Gene::29090,TIMM21
Gene::56919,DHX33
Gene::374677,WASH4P
Gene::79718,TBL1XR1
Gene::7311,UBA52
Gene::7270,TTF1
Gene::2992,GYG1
Gene::2768,GNA12
Gene::3775,KCNK1
Gene::5788,PTPRC
Gene::2022,ENG
Gene::51645,PPIL1
Gene::9801,MRPL19
Gene::347344,ZNF81
Gene::124044,SPATA2L
Gene::25822,DNAJB5
Gene::8635,RNASET2
Gene::55337,SHFL
Gene::2846,LPAR4
Gene::79797,ZNF408
Gene::5876,RABGGTB
Gene::51622,CCZ1
Gene::9716,AQR
Gene::84162,BLTP1
Gene::56900,TMEM167B
Gene::23173,METAP1
Gene::59344,ALOXE3
Gene::6392,SDHD
Gene::81300,OR4P4
Gene::283078,MKX
Gene::6777,STAT5B
Gene::54913,RPP25
Gene::7251,TSG101
Gene::128869,PIGU
Gene::340273,ABCB5
Gene::10985,GCN1
Gene::6196,RPS6KA2
Gene::128367,OR10X1
Gene::5444,PON1
Gene::79960,JADE1
Gene::55214,P3H2
Gene::11033,ADAP1
Gene::51602,NOP58
Gene::10253,SPRY2
Gene::51134,CEP83
Gene::90799,CEP95
Gene::56886,UGGT1
Gene::22863,ATG14
Gene::7625,ZNF74
Gene::56852,RAD18
Gene::4303,FOXO4
Gene::4616,GADD45B
Gene::26737,OR1L1
Gene::57462,MYORG
Gene::401541,CENPP
Gene::728441,GGT2P
Gene::211,ALAS1
Gene::7277,TUBA4A
Gene::1487,CTBP1
Gene::11333,PDAP1
Gene::9391,CIAO1
Gene::85365,ALG2
Gene::84908,FAM136A
Gene::375791,CYSRT1
Gene::471,ATIC
Gene::29095,ORMDL2
Gene::2067,ERCC1
Gene::6847,SYCP1
Gene::219473,OR8K3
Gene::4051,CYP4F3
Gene::5708,PSMD2
Gene::23586,RIGI
Gene::163183,SYNE4
Gene::64963,MRPS11
Gene::4701,NDUFA7
Gene::23542,MAPK8IP2
Gene::7044,LEFTY2
Gene::10526,IPO8
Gene::8567,MADD
Gene::55423,SIRPG
Gene::79501,OR4F5
Gene::23705,CADM1
Gene::373,TRIM23
Gene::3960,LGALS4
Gene::79441,HAUS3
Gene::64754,SMYD3
Gene::27286,SRPX2
Gene::7263,TST
Gene::2099,ESR1
Gene::672,BRCA1
Gene::7347,UCHL3
Gene::79101,TAF1D
Gene::257194,NEGR1
Gene::146540,ZNF785
Gene::6579,SLCO1A2
Gene::51314,NME8
Gene::5167,ENPP1
Gene::7741,ZSCAN26
Gene::29881,NPC1L1
Gene::3420,IDH3B
Gene::407738,TAFA1
Gene::23049,SMG1
Gene::1447,CSN2
Gene::4915,NTRK2
Gene::2588,GALNS
Gene::4792,NFKBIA
Gene::4509,ATP8
Gene::3993,LLGL2
Gene::4254,KITLG
Gene::152137,CCDC50
Gene::7259,TSPYL1
Gene::128853,DUSP15
Gene::1015,CDH17
Gene::6336,SCN10A
Gene::6164,RPL34
Gene::54658,UGT1A1
Gene::51776,MAP3K20
Gene::5291,PIK3CB
Gene::8637,EIF4EBP3
Gene::8807,IL18RAP
Gene::3884,KRT33B
Gene::148281,SYT6
Gene::5048,PAFAH1B1
Gene::55809,TRERF1
Gene::55819,RNF130
Gene::391191,OR2AK2
Gene::28511,NKIRAS2
Gene::25833,POU2F3
Gene::401548,SNX30
Gene::213,ALB
Gene::6732,SRPK1
Gene::8834,TMEM11
Gene::100130827,SBK3
Gene::26119,LDLRAP1
Gene::100132979,GOLGA8DP
Gene::100526767,RNF103-CHMP3
Gene::2946,GSTM2
Gene::56971,CEACAM19
Gene::10202,DHRS2
Gene::5822,PWP2
Gene::377,ARF3
Gene::147746,HIPK4
Gene::10791,VAMP5
Gene::54849,DEF8
Gene::10563,CXCL13
Gene::51133,KCTD3
Gene::342926,ZNF677
Gene::440097,DBX2
Gene::58533,SNX6
Gene::7172,TPMT
Gene::55110,MAGOHB
Gene::64839,FBXL17
Gene::390199,OR4D9
Gene::7375,USP4
Gene::440107,PLEKHG7
Gene::6189,RPS3A
Gene::9310,ZNF235
Gene::23581,CASP14
Gene::1039,CDR2
Gene::4967,OGDH
Gene::780,DDR1
Gene::7988,ZNF212
Gene::388564,TMEM238
Gene::374654,KIF7
Gene::11281,POU6F2
Gene::60682,SMAP1
Gene::55222,LRRC20
Gene::4633,MYL2
Gene::57584,ARHGAP21
Gene::2019,EN1
Gene::6617,SNAPC1
Gene::782,CACNB1
Gene::6693,SPN
Gene::25825,BACE2
Gene::84313,VPS25
Gene::8487,GEMIN2
Gene::94233,OPN4
Gene::25923,ATL3
Gene::9524,TECR
Gene::2049,EPHB3
Gene::257019,FRMD3
Gene::5524,PTPA
Gene::58508,KMT2C
Gene::23091,ZC3H13
Gene::2939,GSTA2
Gene::25939,SAMHD1
Gene::3622,ING2
Gene::80304,WDCP
Gene::81570,CLPB
Gene::30818,KCNIP3
Gene::29882,ANAPC2
Gene::22887,FOXJ3
Gene::9179,AP4M1
Gene::5396,PRRX1
Gene::55454,CSGALNACT2
Gene::64921,CASD1
Gene::3084,NRG1
Gene::23031,MAST3
Gene::10614,HEXIM1
Gene::54863,TOR4A
Gene::374291,NDUFS7
Gene::9926,LPGAT1
Gene::8406,SRPX
Gene::54838,WBP1L
Gene::26973,CHORDC1
Gene::139189,DGKK
Gene::55699,IARS2
Gene::5618,PRLR
Gene::7128,TNFAIP3
Gene::57524,CASKIN1
Gene::54802,TRIT1
Gene::81466,OR2L5
Gene::2826,CCR10
Gene::4717,NDUFC1
Gene::5159,PDGFRB
Gene::54541,DDIT4
Gene::54442,KCTD5
Gene::5996,RGS1
Gene::23258,DENND5A
Gene::55105,GPATCH2
Gene::80006,TRAPPC13
Gene::8993,PGLYRP1
Gene::9519,TBPL1
Gene::341152,OR2AT4
Gene::54492,NEURL1B
Gene::3912,LAMB1
Gene::3490,IGFBP7
Gene::10112,KIF20A
Gene::8476,CDC42BPA
Gene::54464,XRN1
Gene::56899,ANKS1B
Gene::9051,PSTPIP1
Gene::51236,HGH1
Gene::6632,SNRPD1
Gene::11174,ADAMTS6
Gene::160364,CLEC12A
Gene::2525,FUT3
Gene::10228,STX6
Gene::114799,ESCO1
Gene::123016,TTC8
Gene::9657,IQCB1
Gene::4824,NKX3-1
Gene::7132,TNFRSF1A
Gene::54940,OCIAD1
Gene::1808,DPYSL2
Gene::23131,GPATCH8
Gene::338675,OR5AP2
Gene::79177,ZNF576
Gene::91464,ISX
Gene::8861,LDB1
Gene::29072,SETD2
Gene::118672,PSTK
Gene::6118,RPA2
Gene::339761,CYP27C1
Gene::5475,PPEF1
Gene::147808,ZNF784
Gene::9848,MFAP3L
Gene::170572,HTR3C
Gene::154791,FMC1
Gene::5720,PSME1
Gene::29803,REPIN1
Gene::23105,FSTL4
Gene::2596,GAP43
Gene::326,AIRE
Gene::951,CD37
Gene::64151,NCAPG
Gene::4914,NTRK1
Gene::11189,CELF3
Gene::54972,TMEM132A
Gene::10379,IRF9
Gene::1519,CTSO
Gene::83894,TTC29
Gene::199974,CYP4Z1
Gene::2877,GPX2
Gene::347733,TUBB2B
Gene::201799,TMEM154
Gene::2230,FDX1
Gene::7444,VRK2
Gene::9771,RAPGEF5
Gene::51802,ASIC5
Gene::284433,OR10H5
Gene::80005,DOCK5
Gene::2691,GHRH
Gene::390155,OR5T1
Gene::71,ACTG1
Gene::252983,STXBP4
Gene::22893,BAHD1
Gene::4678,NASP
Gene::10875,FGL2
Gene::22914,KLRK1
Gene::29761,USP25
Gene::813,CALU
Gene::10081,PDCD7
Gene::57410,SCYL1
Gene::8462,KLF11
Gene::4738,NEDD8
Gene::391112,OR6Y1
Gene::831,CAST
Gene::8568,RRP1
Gene::8645,KCNK5
Gene::23304,UBR2
Gene::124961,ZFP3
Gene::5165,PDK3
Gene::163732,CITED4
Gene::283234,CCDC88B
Gene::60626,RIC8A
Gene::90268,OTULIN
Gene::2184,FAH
Gene::965,CD58
Gene::8161,COIL
Gene::2494,NR5A2
Gene::22870,PPP6R1
Gene::729515,TMEM242
Gene::4301,AFDN
Gene::81794,ADAMTS10
Gene::388372,CCL4L1
Gene::3479,IGF1
Gene::202915,TMEM184A
Gene::22954,TRIM32
Gene::51478,HSD17B7
Gene::10459,MAD2L2
Gene::51284,TLR7
Gene::89822,KCNK17
