#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	STK11	9606.ENSP00000386456	9606.ENSP00000324856	0	0	0	0.576	0	0.046	0	0.428	0.431
RBM22	CWC27	9606.ENSP00000199814	9606.ENSP00000370460	0	0	0	0	0.093	0.896	0	0.444	0.943
RNF41	TOMM70	9606.ENSP00000342755	9606.ENSP00000284320	0	0	0	0	0.060	0	0	0.589	0.597
RNF41	NUP98	9606.ENSP00000342755	9606.ENSP00000316032	0	0	0	0	0.060	0	0	0.460	0.471
RNF41	RAE1	9606.ENSP00000342755	9606.ENSP00000379181	0	0	0	0	0.067	0	0	0.409	0.425
ROCK2	ATP6V1A	9606.ENSP00000317985	9606.ENSP00000273398	0	0	0	0	0.094	0	0	0.369	0.404
ROCK2	MYO9B	9606.ENSP00000317985	9606.ENSP00000471457	0	0	0	0	0.082	0.078	0.436	0.143	0.537
ROCK2	CIT	9606.ENSP00000317985	9606.ENSP00000376306	0	0	0	0.654	0.042	0.095	0.400	0.225	0.542
RPL36A	SIL1	9606.ENSP00000404375	9606.ENSP00000265195	0.042	0	0	0	0.322	0.453	0	0.166	0.664
RPL36A	ISG15	9606.ENSP00000404375	9606.ENSP00000496832	0	0	0	0	0.202	0.374	0	0.125	0.524
RPL36A	SRP72	9606.ENSP00000404375	9606.ENSP00000495128	0	0	0	0	0.060	0.823	0	0.067	0.831
RTN4R	GNB1L	9606.ENSP00000043402	9606.ENSP00000331313	0	0	0	0	0.083	0.059	0	0.389	0.426
RUNX1T1	AKAP8	9606.ENSP00000402257	9606.ENSP00000269701	0	0	0	0	0	0	0	0.514	0.514
RUNX1T1	NUP98	9606.ENSP00000402257	9606.ENSP00000316032	0	0	0	0	0	0	0	0.475	0.475
RUNX1T1	NUP214	9606.ENSP00000402257	9606.ENSP00000352400	0	0	0	0	0.058	0	0	0.583	0.590
SERPINE1	HMOX1	9606.ENSP00000223095	9606.ENSP00000216117	0	0	0	0	0.073	0	0	0.626	0.638
SERPINE1	CREBBP	9606.ENSP00000223095	9606.ENSP00000262367	0	0	0	0	0	0	0	0.501	0.501
SERPINE1	ITGA5	9606.ENSP00000223095	9606.ENSP00000293379	0	0	0	0	0.310	0	0	0.393	0.564
SIL1	MRPS25	9606.ENSP00000265195	9606.ENSP00000253686	0	0	0	0	0.138	0.476	0	0.064	0.540
SIL1	CALU	9606.ENSP00000265195	9606.ENSP00000438248	0	0	0	0	0.061	0	0	0.419	0.431
SIL1	RPL36A	9606.ENSP00000265195	9606.ENSP00000404375	0.042	0	0	0	0.322	0.453	0	0.166	0.664
SIL1	TUFM	9606.ENSP00000265195	9606.ENSP00000322439	0.106	0	0	0	0.683	0.624	0	0.251	0.909
SKAP2	ITGA5	9606.ENSP00000005587	9606.ENSP00000293379	0	0	0	0	0	0	0.900	0	0.900
SMAD1	CREBBP	9606.ENSP00000305769	9606.ENSP00000262367	0	0	0	0	0.055	0.642	0	0.407	0.782
SMAD1	LEF1	9606.ENSP00000305769	9606.ENSP00000265165	0	0	0	0	0.053	0.336	0	0.182	0.440
SMAD1	NUP214	9606.ENSP00000305769	9606.ENSP00000352400	0	0	0	0	0	0.292	0	0.552	0.669
SON	NUP214	9606.ENSP00000348984	9606.ENSP00000352400	0	0	0	0	0.163	0.126	0	0.295	0.439
SPSB4	MYCBP2	9606.ENSP00000311609	9606.ENSP00000444596	0	0	0	0	0	0.404	0	0.245	0.530
SRP72	RPL36A	9606.ENSP00000495128	9606.ENSP00000404375	0	0	0	0	0.060	0.823	0	0.067	0.831
STK11	AAK1	9606.ENSP00000324856	9606.ENSP00000386456	0	0	0	0.576	0	0.046	0	0.428	0.431
TIMM10B	MAIP1	9606.ENSP00000254616	9606.ENSP00000295079	0	0	0	0	0.101	0	0	0.366	0.406
TIMM10B	TOMM70	9606.ENSP00000254616	9606.ENSP00000284320	0	0	0	0	0.087	0	0	0.410	0.438
TIMM10B	PAM16	9606.ENSP00000254616	9606.ENSP00000315693	0	0	0	0	0.106	0	0	0.448	0.485
TOMM70	TIMM10B	9606.ENSP00000284320	9606.ENSP00000254616	0	0	0	0	0.087	0	0	0.410	0.438
TOMM70	RNF41	9606.ENSP00000284320	9606.ENSP00000342755	0	0	0	0	0.060	0	0	0.589	0.597
TOMM70	PAM16	9606.ENSP00000284320	9606.ENSP00000315693	0	0	0	0	0	0	0	0.645	0.645
TOMM70	DNAJC11	9606.ENSP00000284320	9606.ENSP00000366800	0	0	0	0	0.118	0.061	0.720	0.280	0.810
TPX2	PLK4	9606.ENSP00000300403	9606.ENSP00000270861	0	0	0	0	0.509	0	0	0.491	0.739
TPX2	CIT	9606.ENSP00000300403	9606.ENSP00000376306	0	0	0	0	0.256	0.292	0	0.074	0.470
TPX2	NEK2	9606.ENSP00000300403	9606.ENSP00000355966	0	0	0	0	0.818	0	0	0.696	0.942
TUFM	MRPS25	9606.ENSP00000322439	9606.ENSP00000253686	0	0	0	0	0.229	0.809	0.500	0	0.920
TUFM	SIL1	9606.ENSP00000322439	9606.ENSP00000265195	0.106	0	0	0	0.683	0.624	0	0.251	0.909
TUFM	LONP2	9606.ENSP00000322439	9606.ENSP00000285737	0.111	0	0	0	0.114	0	0	0.421	0.504
UBAP2L	PRRC2B	9606.ENSP00000389445	9606.ENSP00000349856	0	0	0	0	0.131	0.166	0	0.443	0.561
UBAP2L	NUP214	9606.ENSP00000389445	9606.ENSP00000352400	0	0	0.245	0	0.307	0	0	0	0.454
UBAP2L	GIGYF2	9606.ENSP00000389445	9606.ENSP00000387170	0	0	0	0	0.345	0.046	0	0.166	0.434
UBE2M	ISG15	9606.ENSP00000253023	9606.ENSP00000496832	0	0	0	0	0.049	0.114	0	0.353	0.408
UBE2M	DCAF7	9606.ENSP00000253023	9606.ENSP00000483236	0	0	0	0	0.055	0	0.500	0	0.507
UBE2M	FBXW8	9606.ENSP00000253023	9606.ENSP00000498999	0	0	0	0	0	0	0.500	0.133	0.547
UPF3B	NUP85	9606.ENSP00000276201	9606.ENSP00000245544	0	0	0	0	0.053	0	0.500	0	0.506
UPF3B	NUP58	9606.ENSP00000276201	9606.ENSP00000371155	0	0	0	0	0.067	0	0.500	0.068	0.527
UPF3B	NUP88	9606.ENSP00000276201	9606.ENSP00000458954	0	0	0	0	0.062	0	0.500	0.078	0.529
UPF3B	NUP98	9606.ENSP00000276201	9606.ENSP00000316032	0	0	0	0	0.055	0.071	0.500	0.055	0.529
UPF3B	NUP214	9606.ENSP00000276201	9606.ENSP00000352400	0	0	0	0	0.076	0.067	0.500	0.085	0.552
UPF3B	CWC27	9606.ENSP00000276201	9606.ENSP00000370460	0	0	0	0	0.221	0	0.400	0.184	0.585
UPF3B	RAE1	9606.ENSP00000276201	9606.ENSP00000379181	0	0	0	0	0.056	0	0.500	0.286	0.633
UPF3B	PPIL3	9606.ENSP00000276201	9606.ENSP00000286175	0	0	0	0	0.073	0	0.800	0.049	0.808
USP13	ISG15	9606.ENSP00000263966	9606.ENSP00000496832	0	0	0	0	0.058	0.237	0	0.350	0.492
ZDHHC5	GOLGA7B	9606.ENSP00000287169	9606.ENSP00000359634	0	0	0	0	0.047	0.787	0	0.602	0.912
ZNF703	DCAF7	9606.ENSP00000332325	9606.ENSP00000483236	0	0	0	0	0	0.524	0	0.449	0.726
